Id,y
30000,2
30001,6
30002,4
30003,2
30004,9
30005,6
30006,8
30007,7
30008,1
30009,7
30010,7
30011,6
30012,6
30013,5
30014,5
30015,2
30016,2
30017,8
30018,4
30019,7
30020,7
30021,3
30022,3
30023,0
30024,2
30025,2
30026,9
30027,6
30028,6
30029,9
30030,5
30031,9
30032,6
30033,7
30034,6
30035,6
30036,8
30037,8
30038,3
30039,8
30040,8
30041,7
30042,2
30043,5
30044,8
30045,2
30046,7
30047,9
30048,7
30049,6
30050,5
30051,8
30052,7
30053,0
30054,9
30055,5
30056,6
30057,7
30058,4
30059,7
30060,6
30061,8
30062,7
30063,5
30064,7
30065,2
30066,9
30067,9
30068,2
30069,0
30070,7
30071,8
30072,8
30073,8
30074,7
30075,0
30076,6
30077,8
30078,8
30079,7
30080,8
30081,1
30082,6
30083,7
30084,6
30085,3
30086,6
30087,6
30088,4
30089,4
30090,9
30091,1
30092,1
30093,9
30094,5
30095,8
30096,7
30097,6
30098,7
30099,0
30100,0
30101,8
30102,6
30103,8
30104,7
30105,1
30106,2
30107,6
30108,0
30109,7
30110,7
30111,6
30112,5
30113,4
30114,7
30115,9
30116,0
30117,4
30118,9
30119,6
30120,8
30121,3
30122,2
30123,2
30124,7
30125,2
30126,4
30127,3
30128,4
30129,6
30130,7
30131,8
30132,9
30133,4
30134,7
30135,4
30136,6
30137,2
30138,8
30139,5
30140,8
30141,8
30142,8
30143,2
30144,0
30145,8
30146,4
30147,7
30148,8
30149,2
30150,4
30151,8
30152,6
30153,8
30154,9
30155,0
30156,4
30157,8
30158,7
30159,9
30160,3
30161,6
30162,8
30163,8
30164,7
30165,0
30166,7
30167,7
30168,5
30169,2
30170,8
30171,0
30172,8
30173,7
30174,9
30175,7
30176,5
30177,2
30178,8
30179,7
30180,2
30181,8
30182,2
30183,6
30184,6
30185,7
30186,3
30187,8
30188,8
30189,7
30190,4
30191,6
30192,4
30193,2
30194,4
30195,7
30196,9
30197,8
30198,8
30199,2
30200,7
30201,7
30202,6
30203,8
30204,6
30205,5
30206,6
30207,5
30208,6
30209,8
30210,7
30211,6
30212,6
30213,8
30214,8
30215,9
30216,8
30217,8
30218,2
30219,5
30220,2
30221,1
30222,7
30223,4
30224,9
30225,7
30226,4
30227,7
30228,7
30229,9
30230,7
30231,7
30232,6
30233,9
30234,9
30235,4
30236,7
30237,5
30238,9
30239,0
30240,2
30241,7
30242,8
30243,4
30244,4
30245,3
30246,9
30247,8
30248,8
30249,2
30250,8
30251,7
30252,8
30253,9
30254,9
30255,8
30256,2
30257,3
30258,9
30259,6
30260,9
30261,8
30262,4
30263,6
30264,6
30265,7
30266,9
30267,7
30268,4
30269,5
30270,5
30271,8
30272,8
30273,0
30274,8
30275,8
30276,3
30277,9
30278,5
30279,6
30280,8
30281,1
30282,4
30283,9
30284,2
30285,7
30286,8
30287,3
30288,8
30289,8
30290,8
30291,2
30292,8
30293,7
30294,2
30295,2
30296,2
30297,2
30298,8
30299,6
30300,7
30301,9
30302,9
30303,8
30304,7
30305,9
30306,8
30307,6
30308,5
30309,4
30310,6
30311,9
30312,2
30313,2
30314,9
30315,7
30316,8
30317,5
30318,3
30319,8
30320,0
30321,6
30322,9
30323,5
30324,2
30325,1
30326,7
30327,6
30328,7
30329,5
30330,6
30331,7
30332,8
30333,9
30334,8
30335,2
30336,4
30337,9
30338,7
30339,8
30340,7
30341,8
30342,2
30343,5
30344,2
30345,5
30346,8
30347,8
30348,7
30349,2
30350,9
30351,6
30352,9
30353,8
30354,6
30355,5
30356,9
30357,6
30358,0
30359,2
30360,8
30361,6
30362,8
30363,9
30364,2
30365,8
30366,7
30367,2
30368,2
30369,8
30370,4
30371,9
30372,4
30373,9
30374,2
30375,0
30376,8
30377,9
30378,2
30379,8
30380,2
30381,9
30382,6
30383,8
30384,2
30385,6
30386,7
30387,9
30388,8
30389,6
30390,8
30391,8
30392,2
30393,5
30394,9
30395,8
30396,8
30397,8
30398,7
30399,6
30400,0
30401,2
30402,2
30403,2
30404,8
30405,8
30406,6
30407,5
30408,8
30409,4
30410,7
30411,9
30412,9
30413,9
30414,0
30415,9
30416,9
30417,8
30418,8
30419,5
30420,9
30421,7
30422,8
30423,6
30424,8
30425,8
30426,7
30427,0
30428,9
30429,8
30430,0
30431,8
30432,3
30433,4
30434,3
30435,8
30436,5
30437,9
30438,6
30439,0
30440,8
30441,7
30442,3
30443,1
30444,9
30445,4
30446,2
30447,7
30448,8
30449,8
30450,5
30451,7
30452,8
30453,7
30454,5
30455,2
30456,8
30457,2
30458,9
30459,8
30460,6
30461,9
30462,8
30463,7
30464,7
30465,4
30466,8
30467,4
30468,8
30469,3
30470,5
30471,8
30472,6
30473,5
30474,5
30475,3
30476,8
30477,5
30478,5
30479,8
30480,9
30481,8
30482,0
30483,5
30484,6
30485,8
30486,7
30487,7
30488,7
30489,4
30490,6
30491,2
30492,7
30493,8
30494,6
30495,3
30496,8
30497,9
30498,1
30499,8
30500,9
30501,6
30502,8
30503,7
30504,6
30505,6
30506,4
30507,9
30508,5
30509,7
30510,2
30511,1
30512,4
30513,5
30514,3
30515,3
30516,8
30517,8
30518,4
30519,5
30520,9
30521,6
30522,9
30523,1
30524,9
30525,3
30526,9
30527,5
30528,0
30529,7
30530,9
30531,8
30532,6
30533,2
30534,8
30535,7
30536,9
30537,0
30538,8
30539,0
30540,2
30541,3
30542,1
30543,3
30544,9
30545,7
30546,9
30547,8
30548,9
30549,9
30550,9
30551,9
30552,8
30553,2
30554,6
30555,2
30556,4
30557,8
30558,5
30559,0
30560,9
30561,7
30562,2
30563,3
30564,3
30565,2
30566,7
30567,6
30568,5
30569,6
30570,8
30571,8
30572,7
30573,7
30574,6
30575,2
30576,7
30577,6
30578,8
30579,6
30580,7
30581,9
30582,2
30583,9
30584,9
30585,7
30586,9
30587,8
30588,2
30589,5
30590,8
30591,9
30592,4
30593,2
30594,6
30595,2
30596,9
30597,8
30598,8
30599,8
30600,6
30601,6
30602,8
30603,1
30604,7
30605,7
30606,0
30607,4
30608,9
30609,5
30610,8
30611,5
30612,8
30613,7
30614,6
30615,8
30616,2
30617,5
30618,2
30619,8
30620,9
30621,8
30622,6
30623,6
30624,6
30625,0
30626,8
30627,9
30628,6
30629,8
30630,8
30631,6
30632,5
30633,5
30634,8
30635,6
30636,9
30637,7
30638,7
30639,3
30640,8
30641,9
30642,4
30643,6
30644,2
30645,4
30646,9
30647,0
30648,6
30649,8
30650,8
30651,2
30652,2
30653,7
30654,9
30655,6
30656,2
30657,8
30658,6
30659,6
30660,4
30661,5
30662,7
30663,2
30664,8
30665,3
30666,1
30667,6
30668,8
30669,5
30670,9
30671,0
30672,7
30673,8
30674,3
30675,9
30676,8
30677,7
30678,8
30679,9
30680,8
30681,6
30682,9
30683,7
30684,2
30685,9
30686,8
30687,0
30688,6
30689,9
30690,6
30691,4
30692,6
30693,6
30694,6
30695,8
30696,2
30697,9
30698,9
30699,6
30700,5
30701,5
30702,8
30703,8
30704,8
30705,3
30706,8
30707,2
30708,7
30709,6
30710,5
30711,9
30712,6
30713,8
30714,9
30715,8
30716,2
30717,7
30718,6
30719,9
30720,4
30721,3
30722,9
30723,4
30724,7
30725,0
30726,4
30727,8
30728,5
30729,7
30730,8
30731,8
30732,2
30733,7
30734,7
30735,7
30736,7
30737,4
30738,6
30739,8
30740,8
30741,7
30742,8
30743,6
30744,0
30745,4
30746,2
30747,6
30748,9
30749,6
30750,6
30751,6
30752,8
30753,8
30754,9
30755,7
30756,8
30757,6
30758,8
30759,3
30760,8
30761,6
30762,5
30763,6
30764,9
30765,0
30766,2
30767,2
30768,2
30769,1
30770,9
30771,8
30772,7
30773,7
30774,0
30775,5
30776,9
30777,7
30778,6
30779,7
30780,8
30781,8
30782,8
30783,4
30784,4
30785,9
30786,8
30787,8
30788,6
30789,8
30790,7
30791,9
30792,2
30793,8
30794,8
30795,8
30796,2
30797,0
30798,6
30799,9
30800,8
30801,6
30802,3
30803,6
30804,7
30805,9
30806,6
30807,9
30808,4
30809,4
30810,7
30811,0
30812,5
30813,6
30814,2
30815,8
30816,9
30817,7
30818,8
30819,6
30820,9
30821,9
30822,7
30823,5
30824,5
30825,6
30826,9
30827,8
30828,1
30829,4
30830,4
30831,9
30832,9
30833,9
30834,7
30835,3
30836,7
30837,7
30838,8
30839,8
30840,4
30841,9
30842,3
30843,8
30844,4
30845,7
30846,2
30847,9
30848,8
30849,8
30850,8
30851,7
30852,7
30853,9
30854,9
30855,4
30856,8
30857,7
30858,6
30859,5
30860,7
30861,8
30862,9
30863,6
30864,9
30865,4
30866,3
30867,2
30868,8
30869,7
30870,4
30871,8
30872,9
30873,0
30874,8
30875,8
30876,9
30877,0
30878,2
30879,7
30880,4
30881,4
30882,1
30883,7
30884,3
30885,6
30886,1
30887,9
30888,9
30889,3
30890,5
30891,2
30892,8
30893,9
30894,5
30895,6
30896,0
30897,7
30898,2
30899,4
30900,9
30901,7
30902,2
30903,1
30904,7
30905,6
30906,6
30907,8
30908,4
30909,7
30910,7
30911,6
30912,9
30913,3
30914,7
30915,6
30916,8
30917,8
30918,4
30919,7
30920,8
30921,8
30922,0
30923,6
30924,7
30925,2
30926,7
30927,9
30928,7
30929,9
30930,6
30931,6
30932,7
30933,9
30934,9
30935,2
30936,9
30937,7
30938,6
30939,4
30940,6
30941,9
30942,9
30943,6
30944,8
30945,8
30946,8
30947,8
30948,0
30949,2
30950,9
30951,9
30952,9
30953,2
30954,8
30955,5
30956,7
30957,4
30958,9
30959,2
30960,8
30961,0
30962,5
30963,0
30964,9
30965,7
30966,7
30967,7
30968,2
30969,6
30970,6
30971,2
30972,7
30973,7
30974,9
30975,7
30976,9
30977,6
30978,7
30979,7
30980,5
30981,9
30982,7
30983,2
30984,7
30985,0
30986,0
30987,6
30988,2
30989,0
30990,7
30991,6
30992,2
30993,8
30994,5
30995,9
30996,2
30997,8
30998,8
30999,2
31000,8
31001,6
31002,7
31003,2
31004,2
31005,8
31006,2
31007,7
31008,2
31009,6
31010,9
31011,2
31012,1
31013,6
31014,8
31015,0
31016,7
31017,8
31018,8
31019,8
31020,8
31021,8
31022,6
31023,8
31024,8
31025,9
31026,8
31027,2
31028,7
31029,9
31030,8
31031,8
31032,9
31033,4
31034,8
31035,0
31036,8
31037,8
31038,9
31039,8
31040,4
31041,8
31042,4
31043,8
31044,2
31045,6
31046,8
31047,5
31048,8
31049,8
31050,6
31051,3
31052,6
31053,1
31054,0
31055,8
31056,2
31057,9
31058,3
31059,7
31060,8
31061,6
31062,6
31063,9
31064,2
31065,2
31066,8
31067,6
31068,6
31069,8
31070,7
31071,4
31072,1
31073,9
31074,9
31075,5
31076,2
31077,7
31078,0
